word	POS	label	negative	neutral	positive
E-:))	emoticon	positive	0.094	0.41	0.496
E-:)))	emoticon	positive	0.032	0.381	0.587
E-:))))	emoticon	positive	0.062	0.41	0.528
E-:-(	emoticon	neutral	0.393	0.475	0.132
E-:-)	emoticon	neutral	0.053	0.541	0.406
E-:-/	emoticon	neutral	0.31	0.557	0.133
E-:-d	emoticon	neutral	0.068	0.597	0.335
E-:-p	emoticon	neutral	0.06	0.62	0.321
E-:/	emoticon	neutral	0.205	0.58	0.216
E-:3	emoticon	neutral	0.061	0.56	0.38
E-:]	emoticon	neutral	0.053	0.567	0.38
E-:d	emoticon	neutral	0.03	0.559	0.411
E-:dd	emoticon	neutral	0.053	0.6	0.347
E-:o	emoticon	neutral	0.083	0.671	0.246
E-:p	emoticon	neutral	0.052	0.654	0.294
E-:s	emoticon	neutral	0.264	0.563	0.172
E-:|	emoticon	neutral	0.427	0.475	0.099
E-;(	emoticon	negative	0.591	0.32	0.089
E-;)	emoticon	neutral	0.028	0.59	0.382
E-;))	emoticon	neutral	0.045	0.49	0.465
E-;-)	emoticon	neutral	0.089	0.599	0.312
E-;d	emoticon	neutral	0.08	0.506	0.415
E-;o	emoticon	neutral	0.122	0.624	0.254
E-;p	emoticon	neutral	0.091	0.542	0.366
E-</3	emoticon	negative	0.711	0.233	0.056
E-<3	emoticon	positive	0.081	0.291	0.629
E-<33	emoticon	positive	0.043	0.341	0.616
E-<333	emoticon	positive	0.061	0.456	0.483
E-=(	emoticon	negative	0.458	0.413	0.129
E-=)	emoticon	neutral	0.043	0.538	0.419
E-=))	emoticon	neutral	0.034	0.528	0.437
E-=/	emoticon	negative	0.504	0.381	0.114
E-=]	emoticon	neutral	0.05	0.621	0.329
E-=d	emoticon	neutral	0.037	0.555	0.407
E-=p	emoticon	neutral	0.059	0.573	0.369
E->	emoticon	neutral	0.071	0.685	0.244
E->.<	emoticon	neutral	0.305	0.54	0.155
E->>>	emoticon	neutral	0.07	0.68	0.25
E->_<	emoticon	negative	0.531	0.358	0.111
E-^.^	emoticon	neutral	0.055	0.584	0.361
E-^^	emoticon	positive	0.041	0.458	0.501
E-^_^	emoticon	neutral	0.074	0.538	0.388
E-^__^	emoticon	neutral	0.055	0.591	0.355
E-o.o	emoticon	neutral	0.148	0.657	0.195
E-o:	emoticon	neutral	0.101	0.645	0.253
E-o_o	emoticon	neutral	0.198	0.597	0.205
E-t.t	emoticon	negative	0.544	0.353	0.104
E-x	emoticon	positive	0.049	0.057	0.894
E-xd	emoticon	positive	0.062	0.451	0.486
E-xdd	emoticon	neutral	0.075	0.568	0.357
E-xo	emoticon	neutral	0.131	0.5	0.369
E-xoxo	emoticon	positive	0.047	0.01	0.943
E-xp	emoticon	neutral	0.142	0.573	0.285
E-xx	emoticon	positive	0.047	0.044	0.909
E-xxx	emoticon	positive	0.062	0.036	0.902
E-xxxx	emoticon	positive	0.026	0.018	0.956
E-xxxxx	emoticon	positive	0.062	0.074	0.864
E-«	emoticon	neutral	0.226	0.609	0.165
E-»»	emoticon	neutral	0.241	0.584	0.175
E-☹	emoticon	negative	0.627	0.298	0.075
E-☺	emoticon	neutral	0.039	0.571	0.39
E-♡	emoticon	neutral	0.034	0.604	0.362
E-♥	emoticon	positive	0.079	0.424	0.498
E-♥♥	emoticon	positive	0.037	0.452	0.511
E-♥♥♥	emoticon	positive	0.083	0.424	0.493
E-✌	emoticon	neutral	0.131	0.629	0.24
E-❤	emoticon	neutral	0.071	0.549	0.381
E-👌	emoticon	neutral	0.109	0.619	0.272
E-👍	emoticon	neutral	0.059	0.627	0.314
E-👎	emoticon	negative	0.548	0.357	0.095
E-😁	emoticon	neutral	0.113	0.632	0.255
E-😃	emoticon	neutral	0.101	0.588	0.311
E-😄	emoticon	neutral	0.059	0.558	0.383
E-😉	emoticon	neutral	0.061	0.572	0.367
E-😊	emoticon	neutral	0.058	0.59	0.352
E-😍	emoticon	neutral	0.056	0.595	0.349
E-😏	emoticon	neutral	0.107	0.617	0.275
E-😒	emoticon	negative	0.56	0.361	0.08
E-😔	emoticon	negative	0.641	0.285	0.074
E-😘	emoticon	neutral	0.082	0.563	0.355
E-😜	emoticon	neutral	0.116	0.586	0.299
E-😝	emoticon	neutral	0.148	0.606	0.246
E-😡	emoticon	negative	0.845	0.121	0.034
E-😱	emoticon	neutral	0.228	0.593	0.179
E-😳	emoticon	neutral	0.292	0.582	0.126
G-#	other	neutral	0.201	0.688	0.111
G-$	other	neutral	0.201	0.692	0.106
G-'	other	neutral	0.124	0.703	0.173
G-(ツ)	other	neutral	0.215	0.706	0.08
G-**	other	neutral	0.216	0.657	0.127
G--	other	neutral	0.172	0.683	0.145
G----	other	neutral	0.234	0.653	0.114
G------->	other	neutral	0.108	0.708	0.185
G----->	other	neutral	0.21	0.633	0.157
G---->	other	neutral	0.189	0.639	0.171
G--->	other	neutral	0.175	0.632	0.194
G-->	other	neutral	0.195	0.681	0.124
G-::	other	neutral	0.19	0.689	0.121
G-<<	other	neutral	0.229	0.693	0.078
G-<<<	other	neutral	0.267	0.649	0.084
G-<<<<	other	neutral	0.246	0.664	0.09
G-<<<<<	other	neutral	0.28	0.637	0.084
G-<<<<<<	other	neutral	0.367	0.548	0.085
G-<<<<<<<	other	neutral	0.334	0.58	0.087
G-==>	other	neutral	0.195	0.692	0.113
G-=>	other	neutral	0.207	0.676	0.118
G->	other	neutral	0.136	0.699	0.165
G->>	other	neutral	0.189	0.682	0.129
G->>>	other	neutral	0.159	0.667	0.174
G->>>>	other	neutral	0.18	0.687	0.133
G->>>>>	other	neutral	0.18	0.695	0.125
G->>>>>>	other	neutral	0.176	0.695	0.128
G->>>>>>>	other	neutral	0.178	0.699	0.122
G-^	other	neutral	0.212	0.625	0.163
G-_	other	neutral	0.212	0.674	0.114
G-_/¯	other	neutral	0.217	0.704	0.079
G-aca	other	neutral	0.296	0.602	0.102
G-ada	other	neutral	0.123	0.668	0.209
G-aka	other	neutral	0.215	0.659	0.125
G-ako	other	neutral	0.181	0.629	0.189
G-aku	other	neutral	0.154	0.663	0.183
G-al	other	neutral	0.269	0.638	0.093
G-ang	other	neutral	0.182	0.663	0.155
G-ann	other	neutral	0.253	0.63	0.116
G-apa	other	neutral	0.172	0.673	0.154
G-askew	other	neutral	0.101	0.683	0.216
G-aviv	other	neutral	0.142	0.652	0.206
G-ba	other	neutral	0.18	0.674	0.146
G-bonito	other	neutral	0.079	0.715	0.206
G-btw	other	neutral	0.222	0.535	0.243
G-buat	other	neutral	0.17	0.685	0.145
G-buka	other	neutral	0.196	0.678	0.127
G-c	other	neutral	0.183	0.695	0.121
G-ch	other	neutral	0.205	0.693	0.101
G-d	other	neutral	0.15	0.694	0.157
G-dah	other	neutral	0.157	0.678	0.165
G-daw	other	neutral	0.188	0.657	0.156
G-dem	other	neutral	0.28	0.622	0.099
G-di	other	neutral	0.118	0.662	0.22
G-dia	other	neutral	0.115	0.648	0.237
G-dukung	other	neutral	0.357	0.574	0.069
G-e	other	neutral	0.213	0.684	0.103
G-el	other	neutral	0.156	0.68	0.165
G-en	other	neutral	0.08	0.677	0.243
G-es	other	neutral	0.14	0.69	0.17
G-etc	other	neutral	0.16	0.675	0.165
G-f	other	neutral	0.2	0.69	0.11
G-ff	other	neutral	0.153	0.619	0.228
G-fi	other	neutral	0.211	0.655	0.135
G-g	other	neutral	0.201	0.664	0.136
G-google	other	neutral	0.191	0.676	0.133
G-gw	other	neutral	0.233	0.656	0.11
G-h	other	neutral	0.204	0.681	0.114
G-ie	other	neutral	0.246	0.656	0.098
G-ils	other	neutral	0.127	0.739	0.134
G-ini	other	neutral	0.116	0.673	0.211
G-iran	other	neutral	0.24	0.656	0.104
G-itu	other	neutral	0.145	0.68	0.176
G-j	other	neutral	0.208	0.665	0.126
G-je	other	neutral	0.177	0.65	0.173
G-k	other	neutral	0.198	0.647	0.155
G-ka	other	neutral	0.154	0.626	0.22
G-ke	other	neutral	0.133	0.672	0.195
G-ko	other	neutral	0.183	0.659	0.157
G-l	other	neutral	0.201	0.656	0.143
G-la	other	neutral	0.188	0.661	0.151
G-lang	other	neutral	0.157	0.661	0.182
G-le	other	neutral	0.192	0.677	0.131
G-m	other	neutral	0.189	0.684	0.127
G-ma	other	neutral	0.203	0.674	0.123
G-meh	other	neutral	0.263	0.642	0.095
G-mga	other	neutral	0.174	0.658	0.167
G-mi	other	neutral	0.189	0.662	0.15
G-mit	other	neutral	0.279	0.63	0.091
G-mitt	other	neutral	0.24	0.662	0.098
G-mo	other	neutral	0.163	0.652	0.184
G-msm	other	neutral	0.343	0.556	0.1
G-mt	other	neutral	0.15	0.668	0.183
G-na	other	neutral	0.17	0.629	0.201
G-nak	other	neutral	0.175	0.658	0.167
G-naman	other	neutral	0.156	0.636	0.208
G-ne	other	neutral	0.226	0.664	0.11
G-ng	other	neutral	0.182	0.669	0.149
G-ni	other	neutral	0.168	0.645	0.187
G-nuff	other	neutral	0.153	0.707	0.141
G-nw	other	neutral	0.234	0.658	0.108
G-nya	other	neutral	0.121	0.656	0.223
G-o	other	neutral	0.196	0.689	0.115
G-o-o	other	neutral	0.251	0.65	0.099
G-obama	other	neutral	0.181	0.67	0.149
G-op	other	neutral	0.218	0.672	0.11
G-osama	other	neutral	0.369	0.535	0.096
G-ou	other	neutral	0.208	0.685	0.107
G-p	other	neutral	0.209	0.664	0.127
G-pa	other	neutral	0.217	0.652	0.13
G-para	other	neutral	0.139	0.669	0.192
G-po	other	neutral	0.132	0.618	0.25
G-por	other	neutral	0.106	0.659	0.234
G-q	other	neutral	0.218	0.684	0.098
G-que	other	neutral	0.144	0.695	0.162
G-r	other	neutral	0.243	0.647	0.11
G-rev	other	neutral	0.319	0.586	0.095
G-romney	other	neutral	0.272	0.629	0.099
G-s	other	neutral	0.174	0.707	0.119
G-sa	other	neutral	0.149	0.639	0.212
G-sama	other	neutral	0.155	0.679	0.166
G-se	other	neutral	0.155	0.674	0.171
G-sen	other	neutral	0.25	0.638	0.112
G-sh	other	neutral	0.26	0.633	0.107
G-si	other	neutral	0.125	0.654	0.221
G-sm	other	neutral	0.203	0.648	0.148
G-smdh	other	neutral	0.428	0.485	0.087
G-smfh	other	neutral	0.43	0.482	0.088
G-smh	other	negative	0.611	0.338	0.052
G-su	other	neutral	0.193	0.681	0.126
G-sur	other	neutral	0.035	0.652	0.313
G-t	other	neutral	0.213	0.682	0.105
G-taf	other	neutral	0.182	0.758	0.06
G-tak	other	neutral	0.164	0.681	0.154
G-teamfollowback	other	neutral	0.186	0.755	0.06
G-tel	other	neutral	0.145	0.671	0.184
G-tfb	other	neutral	0.219	0.727	0.054
G-th	other	neutral	0.228	0.68	0.092
G-thankyou	other	neutral	0.195	0.591	0.215
G-tu	other	neutral	0.143	0.64	0.218
G-un	other	neutral	0.19	0.694	0.116
G-v	other	neutral	0.19	0.683	0.127
G-va	other	neutral	0.196	0.686	0.118
G-w	other	neutral	0.218	0.672	0.11
G-wala	other	neutral	0.189	0.67	0.141
G-wh	other	neutral	0.238	0.672	0.089
G-x	other	positive	0.096	0.144	0.76
G-yg	other	neutral	0.158	0.677	0.165
G-yung	other	neutral	0.156	0.631	0.212
G-|	other	neutral	0.172	0.729	0.099
G-||	other	neutral	0.188	0.663	0.15
G-~	other	neutral	0.166	0.68	0.154
G-¯_	other	neutral	0.18	0.729	0.092
G-»	other	neutral	0.193	0.702	0.105
G-→	other	neutral	0.155	0.708	0.137
G-★	other	neutral	0.189	0.687	0.124
G-☑	other	neutral	0.164	0.723	0.112
G-☞	other	neutral	0.006	0.508	0.487
G-✔	other	neutral	0.243	0.539	0.218
G-😂	other	neutral	0.219	0.663	0.118
G-😂😂	other	neutral	0.286	0.62	0.094
L-dats	nominal.verb	negative	0.963	0.025	0.012
L-everyone's	nominal.verb	negative	0.955	0.03	0.016
L-gimme	nominal.verb	negative	0.703	0.155	0.142
L-god's	nominal.verb	negative	0.821	0.1	0.08
L-google's	nominal.verb	negative	0.793	0.114	0.093
L-he'd	nominal.verb	negative	0.894	0.068	0.038
L-he'll	nominal.verb	negative	0.801	0.119	0.08
L-he's	nominal.verb	negative	0.611	0.197	0.192
L-here's	nominal.verb	negative	0.563	0.149	0.287
L-hes	nominal.verb	negative	0.948	0.035	0.018
L-he’s	nominal.verb	negative	0.924	0.047	0.029
L-how's	nominal.verb	negative	0.599	0.167	0.233
L-hows	nominal.verb	negative	0.768	0.11	0.121
L-i'd	nominal.verb	negative	0.787	0.12	0.093
L-i'll	nominal.verb	negative	0.674	0.133	0.193
L-i'm	nominal.verb	negative	0.523	0.271	0.207
L-i'ma	nominal.verb	negative	0.833	0.094	0.073
L-i've	nominal.verb	negative	0.624	0.215	0.161
L-i.e.	nominal.verb	negative	0.942	0.037	0.021
L-iam	nominal.verb	negative	0.851	0.082	0.067
L-id	nominal.verb	negative	0.88	0.076	0.044
L-idc	nominal.verb	negative	0.945	0.035	0.02
L-idgaf	nominal.verb	negative	0.979	0.015	0.007
L-idk	nominal.verb	negative	0.969	0.023	0.008
L-ik	nominal.verb	negative	0.956	0.028	0.016
L-im	nominal.verb	negative	0.877	0.083	0.041
L-ima	nominal.verb	negative	0.795	0.122	0.084
L-imma	nominal.verb	negative	0.774	0.131	0.095
L-ion	nominal.verb	negative	0.961	0.026	0.013
L-israel's	nominal.verb	negative	0.855	0.088	0.057
L-it'd	nominal.verb	negative	0.817	0.103	0.08
L-it'll	nominal.verb	negative	0.769	0.128	0.103
L-it's	nominal.verb	negative	0.445	0.26	0.294
L-its	nominal.verb	negative	0.831	0.108	0.061
L-it’s	nominal.verb	negative	0.822	0.105	0.073
L-iv	nominal.verb	negative	0.907	0.057	0.036
L-ive	nominal.verb	negative	0.911	0.059	0.03
L-i’ll	nominal.verb	negative	0.779	0.129	0.092
L-i’m	nominal.verb	negative	0.711	0.152	0.137
L-i’ve	nominal.verb	negative	0.9	0.065	0.035
L-lemme	nominal.verb	negative	0.681	0.162	0.156
L-let's	nominal.verb	negative	0.546	0.152	0.302
L-lets	nominal.verb	negative	0.588	0.137	0.276
L-she'll	nominal.verb	negative	0.864	0.077	0.059
L-she's	nominal.verb	negative	0.809	0.11	0.081
L-shes	nominal.verb	negative	0.92	0.05	0.03
L-someone's	nominal.verb	negative	0.964	0.025	0.011
L-that'd	nominal.verb	negative	0.873	0.068	0.059
L-that'll	nominal.verb	negative	0.801	0.105	0.094
L-that's	nominal.verb	negative	0.863	0.077	0.061
L-thats	nominal.verb	negative	0.662	0.164	0.175
L-that’s	nominal.verb	negative	0.888	0.07	0.042
L-there's	nominal.verb	negative	0.714	0.151	0.136
L-theres	nominal.verb	negative	0.934	0.043	0.023
L-there’s	nominal.verb	negative	0.876	0.079	0.045
L-they'd	nominal.verb	negative	0.919	0.051	0.03
L-they'll	nominal.verb	negative	0.869	0.079	0.052
L-they're	nominal.verb	negative	0.938	0.042	0.019
L-they've	nominal.verb	negative	0.965	0.024	0.011
L-theyre	nominal.verb	negative	0.972	0.018	0.01
L-they’re	nominal.verb	negative	0.967	0.022	0.011
L-thts	nominal.verb	negative	0.95	0.031	0.018
L-u'll	nominal.verb	negative	0.662	0.148	0.19
L-u're	nominal.verb	negative	0.807	0.097	0.096
L-ur	nominal.verb	negative	0.774	0.118	0.107
L-wats	nominal.verb	negative	0.908	0.059	0.033
L-we'd	nominal.verb	negative	0.708	0.138	0.154
L-we'll	nominal.verb	negative	0.659	0.146	0.196
L-we're	nominal.verb	negative	0.736	0.139	0.125
L-we've	nominal.verb	negative	0.774	0.124	0.102
L-we’re	nominal.verb	negative	0.904	0.062	0.033
L-what's	nominal.verb	negative	0.765	0.14	0.096
L-whats	nominal.verb	negative	0.839	0.103	0.058
L-what’s	nominal.verb	negative	0.91	0.055	0.035
L-where's	nominal.verb	negative	0.982	0.014	0.005
L-wheres	nominal.verb	negative	0.969	0.02	0.011
L-who's	nominal.verb	negative	0.699	0.154	0.147
L-whos	nominal.verb	negative	0.928	0.044	0.028
L-whose	nominal.verb	negative	0.871	0.079	0.05
L-you'd	nominal.verb	negative	0.715	0.137	0.148
L-you'll	nominal.verb	negative	0.593	0.133	0.274
L-you're	nominal.verb	negative	0.761	0.114	0.126
L-you've	nominal.verb	negative	0.837	0.091	0.071
L-youll	nominal.verb	negative	0.833	0.088	0.078
L-your	nominal.verb	negative	0.795	0.111	0.094
L-youre	nominal.verb	negative	0.81	0.103	0.087
L-you’re	nominal.verb	negative	0.798	0.117	0.085
L-you’ve	nominal.verb	negative	0.965	0.023	0.012
N-#abortion	common.nouns	neutral	0.233	0.601	0.166
N-#android	common.nouns	neutral	0.072	0.643	0.285
N-#apartheid	common.nouns	neutral	0.189	0.594	0.217
N-#bain	common.nouns	negative	0.488	0.397	0.115
N-#china	common.nouns	neutral	0.191	0.591	0.218
N-#chrome	common.nouns	neutral	0.237	0.565	0.198
N-#dictator	common.nouns	neutral	0.048	0.638	0.314
N-#economy	common.nouns	neutral	0.347	0.494	0.158
N-#ff	common.nouns	neutral	0.064	0.568	0.368
N-#gop	common.nouns	neutral	0.258	0.573	0.169
N-#immigration	common.nouns	neutral	0.249	0.583	0.168
N-#iran	common.nouns	neutral	0.174	0.624	0.202
N-#israel	common.nouns	neutral	0.073	0.652	0.275
N-#jobs	common.nouns	negative	0.492	0.384	0.125
N-#obama	common.nouns	neutral	0.315	0.508	0.177
N-#obamacare	common.nouns	neutral	0.302	0.536	0.162
N-#oil	common.nouns	negative	0.486	0.404	0.111
N-#oomf	common.nouns	neutral	0.317	0.542	0.141
N-#palestine	common.nouns	neutral	0.283	0.55	0.168
N-#politics	common.nouns	neutral	0.301	0.541	0.158
N-#potus	common.nouns	neutral	0.349	0.503	0.148
N-#president	common.nouns	neutral	0.268	0.541	0.191
N-#prochoice	common.nouns	neutral	0.321	0.499	0.18
N-#prolife	common.nouns	neutral	0.301	0.531	0.168
N-#romney	common.nouns	neutral	0.105	0.583	0.312
N-#ronpaul	common.nouns	neutral	0.194	0.58	0.226
N-#turkey	common.nouns	neutral	0.298	0.536	0.166
N-#us	common.nouns	negative	0.453	0.421	0.125
N-#usa	common.nouns	neutral	0.346	0.473	0.181
N-$	common.nouns	neutral	0.373	0.48	0.147
N-$$	common.nouns	neutral	0.291	0.54	0.17
N-$$$	common.nouns	neutral	0.351	0.497	0.151
N-%	common.nouns	neutral	0.209	0.593	0.198
N-2day	common.nouns	neutral	0.157	0.592	0.251
N-3d	common.nouns	neutral	0.039	0.645	0.315
N-4th	common.nouns	neutral	0.257	0.544	0.199
N-a	common.nouns	neutral	0.112	0.604	0.284
N-a.m.	common.nouns	neutral	0.092	0.629	0.279
N-abc	common.nouns	neutral	0.221	0.596	0.183
N-abortions	common.nouns	neutral	0.334	0.504	0.162
N-ac	common.nouns	neutral	0.24	0.551	0.209
N-acc	common.nouns	neutral	0.085	0.634	0.281
N-account	common.nouns	neutral	0.061	0.672	0.268
N-accounts	common.nouns	neutral	0.111	0.666	0.223
N-acct	common.nouns	neutral	0.185	0.59	0.225
N-accts	common.nouns	neutral	0.348	0.495	0.157
N-actions	common.nouns	neutral	0.267	0.562	0.171
N-activists	common.nouns	neutral	0.286	0.548	0.166
N-activities	common.nouns	neutral	0.104	0.637	0.259
N-actors	common.nouns	neutral	0.142	0.585	0.273
N-actress	common.nouns	neutral	0.054	0.644	0.302
N-acts	common.nouns	neutral	0.291	0.522	0.187
N-ad	common.nouns	neutral	0.113	0.644	0.242
N-admin	common.nouns	neutral	0.208	0.587	0.205
N-ads	common.nouns	neutral	0.257	0.584	0.159
N-adsense	common.nouns	neutral	0.178	0.598	0.225
N-adults	common.nouns	neutral	0.238	0.566	0.196
N-advert	common.nouns	neutral	0.144	0.612	0.244
N-advertising	common.nouns	neutral	0.085	0.652	0.263
N-adverts	common.nouns	neutral	0.433	0.439	0.129
N-advisers	common.nouns	neutral	0.272	0.526	0.202
N-advisor	common.nouns	neutral	0.172	0.602	0.226
N-advisors	common.nouns	neutral	0.216	0.582	0.202
N-af	common.nouns	neutral	0.332	0.524	0.143
N-affairs	common.nouns	neutral	0.311	0.531	0.159
N-afghan	common.nouns	neutral	0.394	0.454	0.151
N-african	common.nouns	neutral	0.139	0.617	0.244
N-agencies	common.nouns	neutral	0.199	0.585	0.216
N-agenda	common.nouns	neutral	0.129	0.628	0.243
N-agents	common.nouns	neutral	0.216	0.589	0.195
N-ages	common.nouns	neutral	0.191	0.613	0.196
N-aide	common.nouns	neutral	0.179	0.593	0.229
N-aides	common.nouns	neutral	0.218	0.582	0.2
N-aids	common.nouns	neutral	0.387	0.488	0.126
N-aircraft	common.nouns	neutral	0.249	0.557	0.194
N-airport	common.nouns	neutral	0.237	0.602	0.16
N-al	common.nouns	neutral	0.087	0.653	0.261
N-albums	common.nouns	neutral	0.113	0.575	0.311
N-alert	common.nouns	neutral	0.101	0.628	0.271
N-alerts	common.nouns	neutral	0.08	0.639	0.28
N-aliens	common.nouns	neutral	0.159	0.615	0.226
N-allies	common.nouns	neutral	0.275	0.559	0.166
N-alot	common.nouns	neutral	0.069	0.649	0.282
N-alpha	common.nouns	neutral	0.071	0.645	0.285
N-alternatives	common.nouns	neutral	0.17	0.602	0.228
N-am	common.nouns	neutral	0.097	0.614	0.29
N-ambitions	common.nouns	neutral	0.185	0.588	0.227
N-american	common.nouns	neutral	0.086	0.607	0.307
N-americans	common.nouns	neutral	0.198	0.598	0.204
N-amounts	common.nouns	neutral	0.266	0.569	0.165
N-analytics	common.nouns	neutral	0.07	0.636	0.294
N-ancestors	common.nouns	neutral	0.142	0.616	0.242
N-android	common.nouns	neutral	0.087	0.64	0.272
N-angels	common.nouns	neutral	0.095	0.624	0.281
N-animals	common.nouns	neutral	0.214	0.555	0.231
N-anime	common.nouns	neutral	0.111	0.633	0.256
N-anniversary	common.nouns	neutral	0.076	0.634	0.29
N-announcement	common.nouns	neutral	0.126	0.627	0.247
N-answers	common.nouns	neutral	0.077	0.658	0.266
N-anti-abortion	common.nouns	neutral	0.262	0.548	0.19
N-anti-christ	common.nouns	neutral	0.222	0.593	0.185
N-anti-israel	common.nouns	neutral	0.203	0.591	0.205
N-anti-obama	common.nouns	neutral	0.234	0.567	0.199
N-anti-romney	common.nouns	neutral	0.118	0.613	0.269
N-anybody	common.nouns	neutral	0.166	0.617	0.217
N-anyone	common.nouns	neutral	0.087	0.629	0.284
N-anything	common.nouns	neutral	0.106	0.636	0.258
N-apart	common.nouns	neutral	0.313	0.549	0.137
N-apartheid	common.nouns	neutral	0.278	0.546	0.175
N-api	common.nouns	neutral	0.145	0.606	0.249
N-apologies	common.nouns	neutral	0.386	0.481	0.133
N-apology	common.nouns	neutral	0.348	0.511	0.141
N-app	common.nouns	neutral	0.149	0.656	0.194
N-apples	common.nouns	neutral	0.091	0.616	0.293
N-applications	common.nouns	neutral	0.064	0.645	0.291
N-apps	common.nouns	neutral	0.094	0.642	0.264
N-arab	common.nouns	neutral	0.326	0.496	0.178
N-arabs	common.nouns	neutral	0.364	0.492	0.144
N-areas	common.nouns	neutral	0.134	0.602	0.264
N-arse	common.nouns	neutral	0.265	0.557	0.179
N-arts	common.nouns	neutral	0.043	0.654	0.303
N-artwork	common.nouns	neutral	0.056	0.614	0.33
N-asap	common.nouns	neutral	0.119	0.629	0.252
N-aside	common.nouns	neutral	0.159	0.618	0.223
N-asses	common.nouns	neutral	0.319	0.515	0.165
N-assholes	common.nouns	negative	0.996	0.001	0.003
N-association	common.nouns	neutral	0.136	0.601	0.263
N-asylum	common.nouns	neutral	0.238	0.565	0.197
N-athletes	common.nouns	neutral	0.161	0.578	0.261
N-atm	common.nouns	neutral	0.298	0.54	0.162
N-attempt	common.nouns	negative	0.448	0.431	0.121
N-attempts	common.nouns	negative	0.479	0.403	0.117
N-attn	common.nouns	neutral	0.226	0.57	0.204
N-audience	common.nouns	neutral	0.078	0.654	0.268
N-audio	common.nouns	neutral	0.114	0.616	0.27
N-authorities	common.nouns	neutral	0.268	0.56	0.171
N-ave	common.nouns	neutral	0.156	0.609	0.235
N-avg	common.nouns	neutral	0.24	0.567	0.193
N-avi	common.nouns	neutral	0.068	0.639	0.293
N-aviv	common.nouns	neutral	0.065	0.634	0.301
N-ayatollah	common.nouns	neutral	0.278	0.544	0.178
N-b	common.nouns	neutral	0.064	0.621	0.315
N-b-day	common.nouns	neutral	0.07	0.569	0.361
N-babe	common.nouns	neutral	0.062	0.612	0.326
N-babes	common.nouns	neutral	0.055	0.608	0.336
N-babies	common.nouns	neutral	0.225	0.559	0.216
N-baby	common.nouns	positive	0.139	0.16	0.701
N-back	common.nouns	neutral	0.084	0.637	0.279
N-backers	common.nouns	neutral	0.168	0.604	0.227
N-backup	common.nouns	neutral	0.118	0.598	0.284
N-backyard	common.nouns	neutral	0.055	0.645	0.3
N-bacon	common.nouns	neutral	0.1	0.644	0.256
N-badge	common.nouns	neutral	0.075	0.626	0.299
N-bags	common.nouns	neutral	0.129	0.61	0.26
N-bailouts	common.nouns	neutral	0.395	0.468	0.137
N-bain	common.nouns	neutral	0.354	0.501	0.145
N-balls	common.nouns	neutral	0.357	0.486	0.157
N-bands	common.nouns	neutral	0.09	0.616	0.294
N-bank	common.nouns	neutral	0.159	0.639	0.202
N-bankers	common.nouns	neutral	0.311	0.525	0.164
N-banking	common.nouns	neutral	0.25	0.572	0.178
N-banks	common.nouns	neutral	0.231	0.573	0.196
N-bar	common.nouns	neutral	0.051	0.658	0.291
N-barack	common.nouns	neutral	0.057	0.681	0.262
N-bars	common.nouns	neutral	0.111	0.611	0.277
N-base	common.nouns	neutral	0.187	0.59	0.223
N-bases	common.nouns	neutral	0.214	0.574	0.211
N-bb	common.nouns	neutral	0.226	0.601	0.173
N-bbc	common.nouns	neutral	0.242	0.568	0.19
N-bbq	common.nouns	neutral	0.057	0.568	0.375
N-bby	common.nouns	neutral	0.298	0.534	0.167
N-bday	common.nouns	neutral	0.074	0.587	0.338
N-beach	common.nouns	neutral	0.054	0.628	0.319
N-bean	common.nouns	neutral	0.055	0.634	0.311
N-beans	common.nouns	neutral	0.081	0.614	0.305
N-bear	common.nouns	neutral	0.104	0.593	0.303
N-bears	common.nouns	neutral	0.337	0.514	0.149
N-bee	common.nouns	neutral	0.149	0.621	0.229
N-behalf	common.nouns	neutral	0.246	0.583	0.171
N-beings	common.nouns	neutral	0.183	0.582	0.235
N-beliebers	common.nouns	neutral	0.133	0.624	0.243
N-believer	common.nouns	neutral	0.194	0.594	0.212
N-bestfriend	common.nouns	neutral	0.095	0.633	0.272
N-beta	common.nouns	neutral	0.057	0.649	0.294
N-bets	common.nouns	neutral	0.105	0.621	0.274
N-bf	common.nouns	neutral	0.273	0.547	0.18
N-bff	common.nouns	positive	0.074	0.123	0.803
N-bible	common.nouns	neutral	0.063	0.632	0.305
N-bigots	common.nouns	neutral	0.418	0.447	0.135
N-bikini	common.nouns	neutral	0.099	0.584	0.318
N-billboard	common.nouns	neutral	0.262	0.557	0.181
N-billboards	common.nouns	neutral	0.362	0.481	0.157
N-billionaire	common.nouns	neutral	0.298	0.528	0.174
N-billionaires	common.nouns	neutral	0.299	0.536	0.164
N-billions	common.nouns	neutral	0.365	0.494	0.141
N-bills	common.nouns	neutral	0.337	0.517	0.147
N-bio	common.nouns	neutral	0.049	0.661	0.29
N-birds	common.nouns	neutral	0.351	0.504	0.144
N-birthday!'	common.nouns	positive	0.339	0.126	0.535
N-birthdays	common.nouns	neutral	0.152	0.608	0.24
